Autor,Hora,Fecha,Texto
___delosangeles,14:43,2019-11-13,RT @diariocronicapy: Se realizó la presentación y entrega de las tarjetas del billetaje electrónico a las personas con discapacidad visual.…
PedroDBritos,14:42,2019-11-13,RT @diariocronicapy: Se realizó la presentación y entrega de las tarjetas del billetaje electrónico a las personas con discapacidad visual.…
diariocronicapy,14:41,2019-11-13,Se realizó la presentación y entrega de las tarjetas del billetaje electrónico a las personas con discapacidad visu… https://t.co/nboaOP1gwN
5diasPY,14:1,2019-11-13,💳 𝗦𝗢𝗖𝗜𝗘𝗗𝗔𝗗 |Se inició el registro de solicitudes para la tarjeta del perfil Personas con Discapacidad Visual, den… https://t.co/K3joHBgqih
Lady_Fabi,13:40,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes https://t.co/lHdpd9UhS8 #TelefuturoPy
TelefuturoInfo,13:38,2019-11-13,Billetaje electrónico para no videntes https://t.co/lHdpd9UhS8 #TelefuturoPy
EconomiaVPy,12:30,2019-11-13,60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico https://t.co/3fkfNXrxGc vía @economiaVPy
PazBrun,12:27,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo https://t.co/trMHT6h5x…
Telefuturo,11:17,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo https://t.co/trMHT6h5x…
LaUnionAM,10:56,2019-11-13,"A muchos no le interesa la transparencia, se ha invertido bastante en el billetaje electrónico" César Ruiz Díaz, t… https://t.co/TaUYzFLQQi
Paraguaynosune,10:9,2019-11-13,RT @RadioZP12Pilar: .@senadispy inició registro para el acceso al billetaje electrónico de personas con discapacidad.https://t.co/UwVjVlJ9…
yasy73,10:8,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo https://t.co/trMHT6h5x…
TelefuturoInfo,10:7,2019-11-13,Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo… https://t.co/Q1366tOAH1
MyriamZulma,10:3,2019-11-13,RT @senadispy: 60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico para personas con discapacida…
gracielatrinid4,9:47,2019-11-13,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
EmbaparCorea,7:29,2019-11-13,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
AraConstantini,2:34,2019-11-13,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
artorreani,1:22,2019-11-13,RT @LaNacionPy: Hoy se realiza la presentación y entrega del Billetaje Electrónico a las personas con discapacidad visual en la sede centra…
Jorge_Alarcon11,1:18,2019-11-13,Entonces me dice que el Billetaje electronico le va a entorpecer su trabajo y que no es nada agradable, la Vd no en… https://t.co/blVNeItQO4
Jorge_Alarcon11,1:16,2019-11-13,Hoy me subí al bondi (no voy a decir que Linea) y el chofer me mira mal pq le mostré que voy a pagar con el billeta… https://t.co/rFXpBPuljA
drilente,1:1,2019-11-13,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
RadioZP12Pilar,1:0,2019-11-13,.@senadispy inició registro para el acceso al billetaje electrónico de personas con discapacidad.… https://t.co/shV8WLTwbT
nuchazo,0:19,2019-11-13,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
solcaballerom,23:38,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
1330am,22:37,2019-11-12,#Senadis Unas 60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico para p… https://t.co/Loeh1VQhYG
angelodaraujo,22:9,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
agomezv501,22:5,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
GloAlmiron,21:57,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
berthaBecerra8b,21:56,2019-11-12,RT @closetojulio: SE ME ROBO MI DINERO pero por suerte tengo el billetaje electrónico para el bus 🤫https://t.co/5V3ubP3JrQ
arrobacasco,21:42,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
gaburuiz,21:32,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
JavierVillalba6,21:24,2019-11-12,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
LizvCz,21:14,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
